,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
44, Exploring local art galleries this weekend.        ,Positive,2023-01-30 11:30:00, ArtExplorer  ,Facebook, #Art #GalleryExplore                    ,15.0,30.0, USA      ,2023,1,30,11
45, New book release from my favorite author!          ,Positive,2023-01-30 15:45:00, BookwormX    ,Instagram, #BookRelease #FavoriteAuthor           ,12.0,25.0, UK   ,2023,1,30,15
46, Attending a virtual reality meetup.                ,Positive,2023-01-30 18:30:00, VRMeetup     ,Twitter, #VRMeetup #VirtualReality               ,28.0,55.0, India    ,2023,1,30,18
47, Reflecting on the beauty of nature.                ,Positive,2023-01-31 10:45:00, NatureLover  ,Facebook, #Nature #Reflection                     ,15.0,30.0, Australia ,2023,1,31,10
48, Cooking a special dinner for loved ones.           ,Positive,2023-01-31 19:00:00, ChefAtHome   ,Instagram, #Cooking #SpecialDinner                ,20.0,40.0, USA       ,2023,1,31,19
49, Feeling optimistic about the week ahead.           ,Positive,2023-01-31 16:20:00, OptimisticMindset,Twitter, #Optimism #NewWeek                     ,15.0,30.0, Canada   ,2023,1,31,16
50, Starting a new fitness challenge tomorrow! 💪     ,Positive,2023-02-01 08:00:00, FitnessChallenge,Facebook, #FitnessChallenge #NewBeginnings       ,22.0,45.0, UK         ,2023,2,1,8
51, Sunday bike ride through scenic trails.           ,Positive,2023-02-01 13:30:00, BikeExplorer  ,Instagram, #BikeRide #ScenicTrails                ,18.0,35.0, USA     ,2023,2,1,13
56, Pure happiness: celebrating a loved one's achievement! ,Positive,2023-02-13 10:00:00, ProudFriend     ,Instagram, #Happiness #Celebration                   ,30.0,60.0, USA ,2023,2,13,10
57, Laughter is the best medicine—enjoying a comedy show. ,Positive,2023-02-13 19:30:00, ComedyFan       ,Facebook, #Joy #ComedyShow                             ,22.0,45.0, Canada    ,2023,2,13,19
58, Sharing love and positive vibes with everyone! ❤️      ,Positive,2023-02-14 08:30:00, LoveSpreader    ,Twitter, #Love #SpreadLove                            ,15.0,30.0, Australia  ,2023,2,14,8
59, An amusing incident brightened up my day!               ,Positive,2023-02-14 14:20:00, AmusedSoul      ,Instagram, #Amusement #FunTimes                         ,18.0,35.0, UK           ,2023,2,14,14
60, Enjoying a quiet evening with a book and some tea.      ,Positive,2023-02-14 19:45:00, BookLoverAgain  ,Facebook, #Enjoyment #BookTime                         ,25.0,50.0, Canada       ,2023,2,14,19
61, Admiring the beauty of nature during a peaceful hike.   ,Positive,2023-02-15 11:30:00, NatureAdmirer   ,Twitter, #Admiration #Nature                         ,20.0,40.0, USA       ,2023,2,15,11
67, Overflowing with adoration for my adorable pet! 🐾      ,Positive,2023-02-17 10:45:00, PetAdorer       ,Twitter, #Adoration #PetLove                         ,22.0,45.0, UK        ,2023,2,17,10
72, Excitement building up for the upcoming vacation!       ,Positive,2023-02-18 18:45:00, VacationDreamer ,Facebook, #Excitement #TravelPlans                   ,22.0,45.0, Canada    ,2023,2,18,18
73, Kindness witnessed today restored my faith in humanity. ,Positive,2023-02-19 11:30:00, KindnessPrevails,Twitter, #Kindness #Humanity                        ,20.0,40.0, USA       ,2023,2,19,11
80, Overflowing happiness: welcoming a new family member!  ,Positive,2023-02-22 10:00:00, NewParentJoy    ,Instagram, #Happiness #NewFamilyMember                 ,30.0,60.0, UK           ,2023,2,22,10
81, Laughter is the key to joy—attending a stand-up comedy show. ,Positive,2023-02-22 19:30:00, StandUpFan      ,Facebook, #Joy #StandUpComedy                         ,22.0,45.0, Canada    ,2023,2,22,19
82, Sending love to all my followers on this beautiful day! ❤️ ,Positive,2023-02-23 08:30:00, LoveSender      ,Twitter, #Love #SpreadLove                            ,15.0,30.0, Australia  ,2023,2,23,8
83, Amused by the antics of my pet—it's pure amusement!      ,Positive,2023-02-23 14:20:00, PetAmuser       ,Instagram, #Amusement #PetAntics                       ,18.0,35.0, UK           ,2023,2,23,14
84, Enjoying every moment of this trip—pure enjoyment!      ,Positive,2023-02-23 19:45:00, TravelExplorer  ,Facebook, #Enjoyment #Travel                           ,25.0,50.0, USA ,2023,2,23,19
85, Admiring the dedication of volunteers at a local charity. ,Positive,2023-02-24 11:30:00, CharityAdmirer  ,Twitter, #Admiration #Volunteers                     ,20.0,40.0, USA        ,2023,2,24,11
91, Overflowing adoration for a cute rescue puppy! 🐶       ,Positive,2023-02-26 10:45:00, PuppyAdmirer    ,Twitter, #Adoration #PuppyLove                       ,22.0,45.0, UK         ,2023,2,26,10
96, Excitement building up for a surprise birthday party.   ,Positive,2023-02-27 18:45:00, BirthdayExcite  ,Facebook, #Excitement #SurpriseParty                 ,22.0,45.0, Canada ,2023,2,27,18
97, Witnessed an act of kindness that made my day.          ,Positive,2023-02-28 11:30:00, KindnessObserver,Twitter, #Kindness #ActsOfKindness                  ,20.0,40.0, USA       ,2023,2,28,11
101, Excitement for a quiet evening with a good book.        ,Positive,2023-03-01 13:30:00, BookwormJoy     ,Instagram, #Excitement #BookTime                       ,18.0,35.0, USA          ,2023,3,1,13
105, Excitement for a weekend road trip to explore new places. ,Positive,2023-03-02 16:45:00, RoadTripper2    ,Twitter, #Excitement #WeekendAdventure               ,25.0,50.0, India     ,2023,3,2,16
106, Kindness witnessed today restores my faith in humanity.  ,Positive,2023-03-03 11:30:00, KindnessPrevails2,Facebook, #Kindness #HumanityRestored                 ,22.0,45.0, USA       ,2023,3,3,11
113, Overflowing with gratitude for life's blessings.      ,Positive,2012-11-25 10:00:00, ThankfulHeart   ,Instagram, #Gratitude #Blessed                            ,30.0,60.0, Australia   ,2012,11,25,10
119, Enthusiastically diving into a new project.            ,Positive,2018-06-15 16:00:00, ProjectEnthusiast,Instagram, #Enthusiasm #NewProject                       ,15.0,30.0, USA  ,2018,6,15,16
126, Gratitude for the support received during tough times. ,Positive,2012-03-10 08:30:00, SupportiveFriend,Facebook, #Gratitude #Supportive                        ,15.0,30.0, India     ,2012,3,10,8
132, Enthusiasm for a creative project in the making.       ,Positive,2018-09-15 16:00:00, CreativeSpirit  ,Facebook, #Enthusiasm #Creativity                       ,15.0,30.0, Canada    ,2018,9,15,16
140, Gratitude for the supportive community around me.    ,Positive,2013-04-20 10:30:00, CommunityLove   ,Instagram, #Gratitude #CommunitySupport                   ,30.0,60.0, USA ,2013,4,20,10
146, Enthusiasm for a new artistic project in the works.  ,Positive,2020-09-17 16:30:00, ArtisticSpirit  ,Instagram, #Enthusiasm #ArtisticProject                 ,15.0,30.0, USA       ,2020,9,17,16
153, Gratitude for the small joys that each day brings.   ,Positive,2012-03-30 11:20:00, JoyfulHeart2    ,Facebook, #Gratitude #SmallJoys                        ,15.0,30.0, Australia   ,2012,3,30,11
159, Enthusiasm for a DIY home improvement project.       ,Positive,2018-04-15 16:00:00, DIYEnthusiast   ,Facebook, #Enthusiasm #HomeImprovement                 ,15.0,30.0, Australia   ,2018,4,15,16
251," A heart overflowing with gratitude, a garden where appreciation blooms in the soil of kindness and connection. ",Positive,2023-02-28 09:45:00, HeartGardener ,Facebook, #Grateful #BlossomingConnection ,20.0,40.0, USA ,2023,2,28,9
254," Playfully dancing in the rain of laughter, a whimsical spirit twirling in the puddles of joy and lightheartedness. ",Positive,2020-07-08 18:00:00, RainDancer ,Facebook, #Playful #DanceInTheRain ,22.0,44.0, Canada ,2020,7,8,18
256," Bathed in the glow of inspiration, a creative phoenix rising from the ashes of ordinary thoughts to explore new realms. ",Positive,2019-10-25 16:50:00, PhoenixExplorer ,Twitter, #Inspired #CreativePhoenix ,15.0,30.0, UK ,2019,10,25,16
262," Gratitude as a guiding star, navigating the constellation of blessings in the vast universe of life's precious moments. ",Positive,2022-03-12 19:55:00, StarNavigator ,Twitter, #Grateful #GuidingStar ,19.0,38.0, Australia ,2022,3,12,19
267," A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere. ",Positive,2018-08-22 17:20:00, CarnivalDreamer ,Facebook, #Playful #CarnivalEscapade ,24.0,48.0, Australia ,2018,8,22,17
268," Floating on clouds of inspiration, an artist painting the sky with strokes of creativity, creating a masterpiece of dreams. ",Positive,2021-12-08 14:30:00, SkyArtist ,Twitter, #Inspired #CloudsOfCreativity ,18.0,36.0, India ,2021,12,8,14
272," Bathed in the golden hues of gratefulness, a sunset of appreciation casting its warm glow on the landscapes of the heart. ",Positive,2022-04-01 18:30:00, SunsetAdmirer ,Instagram, #Grateful #GoldenHues ,19.0,38.0, Australia ,2022,4,1,18
275," Playfully juggling responsibilities, a circus performer balancing the acts of work and joy, tossing laughter into the air. ",Positive,2019-11-18 15:15:00, JugglingArtist ,Instagram, #Playful #JugglingResponsibilities ,25.0,50.0, USA ,2019,11,18,15
276," Whispering tales of inspiration to the stars, a storyteller crafting constellations from the threads of imagination. ",Positive,2020-08-29 20:45:00, StarStoryteller ,Facebook, #Inspired #TalesToTheStars ,14.0,28.0, UK ,2020,8,29,20
281," A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere. ",Positive,2018-08-22 17:20:00, CarnivalDreamer ,Facebook, #Playful #CarnivalEscapade ,24.0,48.0, Australia ,2018,8,22,17
282," Floating on clouds of inspiration, an artist painting the sky with strokes of creativity, creating a masterpiece of dreams. ",Positive,2021-12-08 14:30:00, SkyArtist ,Twitter, #Inspired #CloudsOfCreativity ,18.0,36.0, India ,2021,12,8,14
286," Bathed in the golden hues of gratefulness, a sunset of appreciation casting its warm glow on the landscapes of the heart. ",Positive,2022-04-01 18:30:00, SunsetAdmirer ,Instagram, #Grateful #GoldenHues ,19.0,38.0, Australia ,2022,4,1,18
289," Playfully juggling responsibilities, a circus performer balancing the acts of work and joy, tossing laughter into the air. ",Positive,2019-11-18 15:15:00, JugglingArtist ,Instagram, #Playful #JugglingResponsibilities ,25.0,50.0, USA ,2019,11,18,15
290," Whispering tales of inspiration to the stars, a storyteller crafting constellations from the threads of imagination. ",Positive,2020-08-29 20:45:00, StarStoryteller ,Facebook, #Inspired #TalesToTheStars ,14.0,28.0, UK ,2020,8,29,20
295," A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere. ",Positive,2018-08-22 17:20:00, CarnivalDreamer ,Facebook, #Playful #CarnivalEscapade ,24.0,48.0, Australia ,2018,8,22,17
338,Excitement builds as the countdown to a long-awaited vacation begins. ,Positive,2023-01-10 12:00:00, VacationDreamer ,Instagram, #Excitement #VacationCountdown        ,30.0,60.0, France            ,2023,1,10,12
339,"Reflecting on life's journey, grateful for the lessons learned. ",Positive,2018-12-05 08:45:00, LifeLearner   ,Twitter, #Gratitude #LifeLessons                    ,35.0,70.0, Brazil            ,2018,12,5,8
342,Admiration for the intricate details of a handcrafted masterpiece. ,Positive,2019-08-20 16:00:00, CraftEnthusiast ,Instagram, #Admiration #HandcraftedArt               ,25.0,50.0, USA               ,2019,8,20,16
343,Overjoyed by the warmth of a cozy fireplace on a winter evening.   ,Positive,2021-12-08 19:30:00, WinterLover     ,Twitter, #Overjoyed #WinterWarmth                  ,18.0,35.0, Canada            ,2021,12,8,19
344,Inspiration strikes while observing the colors of a vibrant sunset.,Positive,2020-06-10 20:45:00, SunsetWatcher   ,Instagram, #Inspiration #ColorfulSunset             ,30.0,60.0, UK                ,2020,6,10,20
346,Gratitude for the simple joys found in a cup of morning coffee.    ,Positive,2017-04-15 08:00:00, CoffeeLover     ,Twitter, #Gratitude #MorningCoffee                 ,22.0,45.0, India             ,2017,4,15,8
348,Amused by the antics of playful kittens during playtime.           ,Positive,2022-10-22 12:45:00, KittyObserver   ,Facebook, #Amusement #PlayfulKittens               ,15.0,30.0, Canada            ,2022,10,22,12
351,Excitement builds while preparing for a surprise celebration.     ,Positive,2023-03-05 15:00:00, CelebrationPlanner ,Facebook, #Excitement #SurpriseCelebration         ,30.0,60.0, Australia          ,2023,3,5,15
352,Satisfaction derived from successfully completing a DIY project.  ,Positive,2015-12-01 11:30:00, DIYEnthusiast   ,Twitter, #Satisfaction #DIYProject                 ,25.0,50.0, USA               ,2015,12,1,11
358,Appreciation for the vibrant culture experienced during travel.   ,Positive,2016-11-14 13:45:00, CultureExplorer ,Twitter, #Appreciation #CulturalExperience        ,28.0,55.0, UK                ,2016,11,14,13
361,Enthusiasm for learning new skills and expanding knowledge.      ,Positive,2018-08-07 12:15:00, LifelongLearner ,Twitter, #Enthusiasm #SkillBuilding               ,30.0,60.0, India             ,2018,8,7,12
365,Optimism for a bright future amidst challenging times.           ,Positive,2021-07-05 09:30:00, FutureOptimist  ,Instagram, #Optimism #BrightFuture                  ,20.0,40.0, Canada            ,2021,7,5,9
367,Happiness blooms like flowers in a garden on a sunny day.        ,Positive,2020-02-10 11:15:00, SunnyDayEnthusiast ,Twitter, #Happiness #SunnyDay                      ,15.0,30.0, India             ,2020,2,10,11
372,Giggles and joy echo in the air during a children's playdate.      ,Positive,2020-12-15 15:45:00, PlayfulParent   ,Facebook, #PlayfulJoy #ChildrensPlaydate           ,22.0,45.0, Japan            ,2020,12,15,15
379,Harmony resonates as musicians play a melody of unity and togetherness. ,Positive,2019-11-30 19:30:00, MusicHarmonist  ,Instagram, #Harmony #MusicalUnity                   ,35.0,70.0, Sweden          ,2019,11,30,19
380,A burst of creativity in the quiet solitude of an artist's studio.  ,Positive,2015-09-01 16:00:00, StudioArtist    ,Twitter, #Creativity #ArtistsHaven               ,15.0,30.0, Italy           ,2015,9,1,16
384,Whispers of inspiration from the rustling leaves in a serene forest. ,Positive,2016-11-15 11:45:00, ForestDreamer   ,Facebook, #Inspiration #ForestWhispers            ,28.0,55.0, Portugal        ,2016,11,15,11
385,Savoring the warmth of a cup of cocoa on a chilly winter evening.   ,Positive,2020-01-12 18:00:00, WinterWarmth    ,Instagram, #Coziness #WarmWinterEvening           ,30.0,60.0, Switzerland     ,2020,1,12,18
386,Heartfelt gratitude for the laughter shared during a family reunion. ,Positive,2017-12-28 19:15:00, FamilyGatherer ,Facebook, #Gratitude #FamilyLaughter              ,22.0,45.0, Austria         ,2017,12,28,19
399,Harmony resonates as musicians play a symphony of unity.           ,Positive,2019-11-30 19:30:00, MusicHarmonist  ,Instagram, #Harmony #MusicalUnity                   ,35.0,70.0, Sweden          ,2019,11,30,19
404,Whispers of inspiration from the rustling leaves in a serene forest. ,Positive,2016-11-15 11:45:00, ForestDreamer   ,Facebook, #Inspiration #ForestWhispers            ,28.0,55.0, Portugal        ,2016,11,15,11
405,Savoring the warmth of a cup of cocoa on a chilly winter evening.   ,Positive,2020-01-12 18:00:00, WinterWarmth    ,Instagram, #Coziness #WarmWinterEvening           ,30.0,60.0, Switzerland     ,2020,1,12,18
406,Heartfelt gratitude for the laughter shared during a family reunion. ,Positive,2017-12-28 19:15:00, FamilyGatherer ,Facebook, #Gratitude #FamilyLaughter              ,22.0,45.0, Austria         ,2017,12,28,19
411,Giddy with excitement as the first snowflakes dance from the sky. ,Positive,2020-12-02 17:30:00, SnowfallEnthusiast ,Twitter, #Excitement #SnowfallMagic             ,22.0,45.0, Canada         ,2020,12,2,17
417,Imbued with gratitude for the simple pleasure of a warm cup of tea. ,Positive,2023-02-15 08:30:00, TeaEnthusiast  ,Twitter, #Gratitude #WarmTea                    ,18.0,35.0, Japan           ,2023,2,15,8
470,"Dancing on sunshine, each step a celebration of the joy found in simple moments. ",Positive,2021-08-20 15:45:00, SunshineDancer ,Instagram, #Joy #SimpleMoments ,40.0,80.0, USA ,2021,8,20,15
471,"Laughter echoes in the air, a chorus of happiness that lifts the spirit higher. ",Positive,2018-04-12 18:30:00, EchoedLaughter ,Twitter, #Happiness #SpiritLifter ,35.0,70.0, Canada ,2018,4,12,18
473,"Chasing dreams under the vibrant sky, a journey fueled by hope and enthusiasm. ",Positive,2019-10-28 14:15:00, DreamChaser ,Instagram, #Enthusiasm #HopefulJourney ,30.0,60.0, Australia ,2019,10,28,14
474,"Serenading the stars with a heart full of gratitude, a melody of thankfulness. ",Positive,2017-12-22 21:00:00, StarSerenader ,Twitter, #Gratitude #ThankfulMelody ,22.0,45.0, India ,2017,12,22,21
476,"In the dance of positivity, every step is a rhythm, uplifting the soul in harmony. ",Positive,2016-09-18 19:45:00, DanceHarmony ,Instagram, #Positivity #SoulUpliftment ,18.0,35.0, France ,2016,9,18,19
477,"Overflowing with joy, a cup of laughter shared with friends, a moment cherished. ",Positive,2023-03-10 14:30:00, LaughterCup ,Twitter, #Joy #CherishedMoment ,20.0,40.0, Japan ,2023,3,10,14
478,"Draped in the warmth of kindness, a quilt of compassion stitched with love. ",Positive,2019-05-05 12:15:00, QuiltedCompassion ,Facebook, #Kindness #LoveStitches ,25.0,50.0, Brazil ,2019,5,5,12
480,"In the embrace of love, each heartbeat is a melody, dancing to the rhythm of affection. ",Positive,2022-11-15 20:45:00, MelodyOfLove ,Twitter, #Love #RhythmOfAffection ,35.0,70.0, USA ,2022,11,15,20
481,"Surrounded by the colors of joy, a canvas painted with laughter and endless smiles. ",Positive,2019-07-02 17:00:00, ColorfulLaughter ,Instagram, #Joy #EndlessSmiles ,40.0,80.0, Canada ,2019,7,2,17
482,"In the symphony of excitement, each note is a burst of energy, igniting the soul with fervor. ",Positive,2021-04-18 14:20:00, SymphonyFervor ,Facebook, #Excitement #IgnitedSoul ,30.0,60.0, UK ,2021,4,18,14
485,"Floating on clouds of gratitude, each raindrop a blessing, a shower of thankfulness. ",Positive,2016-12-10 21:15:00, CloudsOfBlessings ,Facebook, #Gratitude #ShowerOfThankfulness ,28.0,55.0, Germany ,2016,12,10,21
486,"Like a comet of inspiration, streaking through the sky of creativity, leaving trails of brilliance. ",Positive,2020-05-28 16:00:00, CometCreativity ,Twitter, #Inspiration #BrilliantTrails ,18.0,35.0, France ,2020,5,28,16
487,"In the celebration of success, fireworks of accomplishment light up the night sky of triumph. ",Positive,2017-11-15 22:30:00, FireworksTriumph ,Instagram, #Success #NightSkyTriumph ,22.0,45.0, Japan ,2017,11,15,22
488,"A symphony of laughter, each note a key to unlocking the door of boundless happiness. ",Positive,2021-08-02 19:00:00, LaughterSymphony ,Facebook, #Happiness #BoundlessLaughter ,30.0,60.0, Brazil ,2021,8,2,19
492,"Exploring the wonders of Ferrari World, the roar of engines creating a symphony of speed. ",Positive,2019-11-10 14:00:00, FerrariSpeedster ,Facebook, #Excitement #SymphonyOfSpeed ,22.0,45.0, Italy ,2019,11,10,14
493,"Amidst the tulip fields of Keukenhof, a tapestry of colors that paints the soul with springtime joy. ",Positive,2021-04-02 18:20:00, KeukenhofAdventurer ,Instagram, #Joy #SpringtimeColors ,35.0,70.0, Netherlands ,2021,4,2,18
497,"Amazed by the architectural marvels of Petra, each stone telling tales of an ancient civilization. ",Positive,2023-01-28 13:00:00, PetraExplorer ,Twitter, #Amazement #AncientTales ,30.0,60.0, Jordan ,2023,1,28,13
498,"Embarking on a gondola ride in Venice, each canal reflecting the romance of this timeless city. ",Positive,2019-04-18 16:30:00, VeniceRomantic ,Instagram, #Romance #TimelessCity ,20.0,40.0, Italy ,2019,4,18,16
500,"In the heart of New York City, Times Square dazzles with lights, a vibrant spectacle of urban energy. ",Positive,2022-07-20 21:45:00, TimesSquareExplorer ,Instagram, #Excitement #UrbanEnergy ,35.0,70.0, USA ,2022,7,20,21
515,"Immersed in the pulsating beats of a Bruno Mars concert, where 'Uptown Funk' becomes a city of joy. ",Positive,2017-03-28 20:30:00, MarsJoyExplorer ,Facebook, #Joy #BrunoMars ,28.0,55.0, USA ,2017,3,28,20
517,"Swinging to the rhythms of a Frank Sinatra tribute, feeling the timeless charm of 'Fly Me to the Moon'. ",Positive,2019-06-10 18:45:00, SinatraCharmListener ,Twitter, #Charm #SinatraTribute ,22.0,45.0, USA ,2019,6,10,18
520,"At a Justin Bieber concert, the infectious beats of 'Baby' create a dance floor of unbridled enthusiasm. ",Positive,2018-08-05 20:00:00, BieberDanceEnthusiast ,Instagram, #Enthusiasm #JustinBieber ,40.0,80.0, Canada ,2018,8,5,20
521,"In the spotlight at a Lady Gaga show, each costume change is a metamorphosis of creativity and artistry. ",Positive,2021-04-15 21:30:00, GagaArtisticChameleon ,Twitter, #Creativity #LadyGaga ,35.0,70.0, USA ,2021,4,15,21
530,"Captivated by the spellbinding plot twists, the audience applauds, experiencing a rollercoaster of emotions at the movie premiere. ",Positive,2018-10-12 20:00:00, MovieEnthusiastPremiereAttendee ,Twitter, #Excitement #MoviePremiereThrills ,40.0,80.0, USA ,2018,10,12,20
535,"At the Oscars, the actor graciously accepts an award, radiating joy and gratitude for the recognition of their outstanding performance. ",Positive,2016-02-28 20:30:00, AwardWinningActorOscarsRecipient ,Facebook, #Gratitude #OscarWinningMoment ,18.0,35.0, USA ,2016,2,28,20
536,"Discovering a hidden gem in the world of documentaries, the viewer is enlightened and inspired, feeling a renewed sense of curiosity. ",Positive,2022-04-20 17:30:00, DocumentaryEnthusiastHiddenGemFinder ,Twitter, #Inspiration #HiddenGemDiscovery ,22.0,45.0, France ,2022,4,20,17
539,"As the closing scene unfolds, a sense of satisfaction washes over, completing the cinematic journey with a profound and fulfilling ending. ",Positive,2020-09-10 19:45:00, FilmCriticSatisfactionSeeker ,Twitter, #Satisfaction #FulfillingEnding ,22.0,45.0, Brazil ,2020,9,10,19
540,"Celebrating a historic victory in the World Cup, the nation erupts in joy, united by the triumph of their football team. ",Positive,2018-07-15 21:30:00, FootballFanWorldCupCelebration ,Instagram, #Joy #WorldCupTriumph ,40.0,80.0, Brazil ,2018,7,15,21
